transaction_amount,transaction_type,account_age_days,previous_failed_transactions,transaction_hour,location_risk_score,device_risk_score,is_international,average_daily_transaction_amount,fraud
431.25,purchase,1104,1,7,47.59,78.63,1,152.12,1
421.38,transfer,671,1,12,34.61,40.84,1,205.05,0
937.74,purchase,298,0,2,44.69,17.93,1,191.04,0
435.31,withdrawal,871,1,13,1.82,48.41,1,224.0,0
587.19,payment,666,1,0,35.75,21.52,0,315.39,0
1127.91,deposit,1159,1,5,65.72,4.58,0,278.31,0
463.51,purchase,1349,0,13,7.48,35.12,0,278.34,0
322.88,purchase,531,0,6,34.33,34.5,0,132.69,0
246.75,payment,699,2,10,15.9,44.29,0,201.51,0
1199.88,transfer,716,0,6,27.05,35.79,0,440.97,0
1535.39,transfer,1340,0,12,23.87,31.84,0,416.03,0
526.15,deposit,998,1,3,48.39,8.13,0,250.66,0
341.74,withdrawal,542,1,3,45.62,29.66,0,361.32,0
682.13,purchase,1531,0,23,21.83,34.1,0,302.94,0
2198.96,transfer,671,0,7,30.31,35.6,0,378.7,0
617.46,payment,757,1,16,41.37,21.25,0,368.26,0
1889.71,withdrawal,604,0,0,23.64,21.09,1,259.73,0
1095.73,payment,1032,1,2,70.17,66.8,0,331.38,0
330.63,purchase,815,0,18,32.96,39.16,0,311.73,0
518.95,withdrawal,1733,0,8,49.69,22.52,0,262.82,0
496.92,purchase,1004,2,7,39.45,20.45,0,237.88,0
2260.51,transfer,622,0,4,53.51,10.59,1,519.7,0
163.82,deposit,954,0,6,5.39,68.15,0,262.97,0
1137.19,purchase,1844,1,5,55.31,6.88,0,351.57,0
700.79,purchase,511,0,19,20.13,39.78,0,502.1,0
412.7,payment,1189,0,22,42.42,33.87,0,331.13,0
2510.43,transfer,359,1,0,19.95,17.64,1,324.65,1
1699.77,payment,1678,0,3,29.37,12.86,0,263.65,0
527.75,payment,766,0,15,49.54,72.88,0,314.19,0
243.94,withdrawal,613,3,21,18.82,36.85,0,228.92,1
906.03,purchase,1793,0,7,50.41,12.72,0,732.19,0
314.55,deposit,925,0,20,40.75,47.38,0,134.22,0
890.21,payment,942,1,0,21.06,5.78,0,244.59,0
453.88,transfer,771,0,17,27.51,15.65,0,333.52,0
